name,xmlUrl,htmlUrl
Drew DeVault's blog,https://drewdevault.com/blog/index.xml,https://drewdevault.com
Duanin2's Blog,https://duanin2.eu/feed.rss,https://duanin2.eu
Dungeon Masters Guild Newsletter:,https://www.dmsguild.com/newsletter_rss_feed.php,https://www.dmsguild.com
DysonLogos.com,http://www.dysonlogos.com/feed/,https://www.dysonlogos.com
Ed Zitron's Where's Your Ed At,https://www.wheresyoured.at/rss/,https://www.wheresyoured.at
Elpis zine,https://elpis.ws/rss.xml,https://elpis.ws
endtimes.dev,https://endtimes.dev/feed.xml,https://endtimes.dev
Eric Bailey,https://ericwbailey.website/feed/feed.xml,https://ericwbailey.website
evil female,https://www.evilfemale.blog/feed,https://www.evilfemale.blog
Existential Comics,https://existentialcomics.com/rss.xml,https://existentialcomics.com
Extinction Rebellion UK,https://extinctionrebellion.uk/feed/,https://extinctionrebellion.uk
faehnri.ch,https://faehnri.ch/feed.xml,https://faehnri.ch
First Edition newsletter | The Guardian,https://www.theguardian.com/world/series/first-edition/rss,https://www.theguardian.com
